geneId	chromosome	geneStart	geneEnd	paralogId	paralogChr	paralogStart	paralogEnd
AT1G01050.TAIR10	Chr1	31170	33153	AT4G01480.TAIR10	Chr4	626118	628055
AT1G01100.TAIR10	Chr1	50075	51199	AT5G47700.TAIR10	Chr5	19327803	19328983
AT1G01100.TAIR10	Chr1	50075	51199	AT4G00810.TAIR10	Chr4	345952	347184
AT1G01210.TAIR10	Chr1	88898	89745	AT4G07950.TAIR10	Chr4	4798044	4799795
AT1G01350.TAIR10	Chr1	136124	138162	AT5G06420.TAIR10	Chr5	1960681	1963040
AT1G01620.TAIR10	Chr1	225665	227302	AT2G45960.TAIR10	Chr2	18910295	18911982
AT1G01620.TAIR10	Chr1	225665	227302	AT4G23400.TAIR10	Chr4	12220743	12222371
AT1G01620.TAIR10	Chr1	225665	227302	AT4G00430.TAIR10	Chr4	185450	187627
AT1G01620.TAIR10	Chr1	225665	227302	AT3G61430.TAIR10	Chr3	22733309	22735335
AT1G02000.TAIR10	Chr1	345812	347592	AT4G00110.TAIR10	Chr4	38504	40189
AT1G02500.TAIR10	Chr1	518251	520437	AT4G01850.TAIR10	Chr4	796097	798286
AT1G02520.TAIR10	Chr1	523651	528745	AT1G02530.TAIR10	Chr1	529795	534677
AT1G02530.TAIR10	Chr1	529795	534677	AT1G02520.TAIR10	Chr1	523651	528745
AT1G02620.TAIR10	Chr1	557092	557986	AT4G02080.TAIR10	Chr4	921454	922777
AT1G02780.TAIR10	Chr1	607808	609465	AT4G02230.TAIR10	Chr4	979170	980670
AT1G02920.TAIR10	Chr1	658657	659771	AT1G02930.TAIR10	Chr1	661177	662427
AT1G02930.TAIR10	Chr1	661177	662427	AT1G02920.TAIR10	Chr1	658657	659771
AT1G03130.TAIR10	Chr1	753307	754198	AT4G02770.TAIR10	Chr4	1229111	1229945
AT1G03200.TAIR10	Chr1	780602	781285	AT1G03240.TAIR10	Chr1	792222	792986
AT1G03240.TAIR10	Chr1	792222	792986	AT1G03200.TAIR10	Chr1	780602	781285
AT1G03495.TAIR10	Chr1	873184	874935	AT1G03940.TAIR10	Chr1	1009542	1011056
AT1G03940.TAIR10	Chr1	1009542	1011056	AT1G03495.TAIR10	Chr1	873184	874935
AT1G04220.TAIR10	Chr1	1119699	1122526	AT5G43760.TAIR10	Chr5	17585763	17588597
AT1G04270.TAIR10	Chr1	1141604	1143053	AT5G43640.TAIR10	Chr5	17531302	17532370
AT1G04270.TAIR10	Chr1	1141604	1143053	AT5G09510.TAIR10	Chr5	2955113	2956673
AT1G04410.TAIR10	Chr1	1189078	1191412	AT5G43330.TAIR10	Chr5	17390433	17392645
AT1G04480.TAIR10	Chr1	1216095	1217467	AT2G33370.TAIR10	Chr2	14143554	14144721
AT1G04480.TAIR10	Chr1	1216095	1217467	AT3G04400.TAIR10	Chr3	1167276	1168659
AT1G04630.TAIR10	Chr1	1289734	1291112	AT2G33220.TAIR10	Chr2	14078851	14080157
AT1G04750.TAIR10	Chr1	1331466	1333567	AT2G33120.TAIR10	Chr2	14043459	14045543
AT1G04810.TAIR10	Chr1	1350180	1355442	AT2G32730.TAIR10	Chr2	13880046	13885736
AT1G04820.TAIR10	Chr1	1356191	1358386	AT5G19770.TAIR10	Chr5	6682493	6684579
AT1G04820.TAIR10	Chr1	1356191	1358386	AT1G50010.TAIR10	Chr1	18517586	18520000
AT1G04820.TAIR10	Chr1	1356191	1358386	AT4G14960.TAIR10	Chr4	8548492	8550453
AT1G04820.TAIR10	Chr1	1356191	1358386	AT5G19780.TAIR10	Chr5	6687074	6689171
AT1G04940.TAIR10	Chr1	1399182	1400770	AT1G04945.TAIR10	Chr1	1400908	1403046
AT1G04945.TAIR10	Chr1	1400908	1403046	AT1G04940.TAIR10	Chr1	1399182	1400770
AT1G05090.TAIR10	Chr1	1463202	1465622	AT4G20720.TAIR10	Chr4	11105318	11108053
AT1G05240.TAIR10	Chr1	1521137	1522681	AT1G05250.TAIR10	Chr1	1525601	1527234
AT1G05250.TAIR10	Chr1	1525601	1527234	AT1G05240.TAIR10	Chr1	1521137	1522681
AT1G05490.TAIR10	Chr1	1618602	1623452	AT4G30460.TAIR10	Chr4	14888980	14889802
AT1G05490.TAIR10	Chr1	1618602	1623452	AT5G26673.TAIR10	Chr5	9279309	9279611
AT1G05490.TAIR10	Chr1	1618602	1623452	AT2G29125.TAIR10	Chr2	12523342	12524109
AT1G05490.TAIR10	Chr1	1618602	1623452	AT4G30450.TAIR10	Chr4	14886027	14886675
AT1G05570.TAIR10	Chr1	1647706	1659437	AT2G31960.TAIR10	Chr2	13588887	13600229
AT1G06020.TAIR10	Chr1	1824548	1826101	AT1G06030.TAIR10	Chr1	1826880	1828161
AT1G06030.TAIR10	Chr1	1826880	1828161	AT1G06020.TAIR10	Chr1	1824548	1826101
AT1G06030.TAIR10	Chr1	1826880	1828161	AT1G50390.TAIR10	Chr1	18666986	18667677
AT1G06090.TAIR10	Chr1	1847883	1849693	AT1G06120.TAIR10	Chr1	1855943	1857718
AT1G06120.TAIR10	Chr1	1855943	1857718	AT1G06090.TAIR10	Chr1	1847883	1849693
AT1G06220.TAIR10	Chr1	1899964	1904873	AT5G25230.TAIR10	Chr5	8739709	8743594
AT1G06230.TAIR10	Chr1	1906963	1910727	AT5G26673.TAIR10	Chr5	9279309	9279611
AT1G06230.TAIR10	Chr1	1906963	1910727	AT4G30450.TAIR10	Chr4	14886027	14886675
AT1G06290.TAIR10	Chr1	1922352	1926278	AT3G06690.TAIR10	Chr3	2115426	2116825
AT1G06390.TAIR10	Chr1	1946788	1950755	AT2G30980.TAIR10	Chr2	13182069	13185949
AT1G06430.TAIR10	Chr1	1960058	1963011	AT2G30950.TAIR10	Chr2	13174321	13177223
AT1G06515.TAIR10	Chr1	1990634	1992228	AT2G30942.TAIR10	Chr2	13170871	13172021
AT1G06700.TAIR10	Chr1	2052481	2055548	AT2G30740.TAIR10	Chr2	13095976	13098594
AT1G06890.TAIR10	Chr1	2111563	2114601	AT2G30460.TAIR10	Chr2	12976146	12978868
AT1G07070.TAIR10	Chr1	2168564	2169851	AT1G74270.TAIR10	Chr1	27928171	27929497
AT1G07170.TAIR10	Chr1	2200123	2201265	AT2G30000.TAIR10	Chr2	12803853	12804977
AT1G07370.TAIR10	Chr1	2263140	2264551	AT2G29570.TAIR10	Chr2	12649906	12651703
AT1G07400.TAIR10	Chr1	2274943	2275758	AT1G59860.TAIR10	Chr1	22031413	22032132
AT1G07470.TAIR10	Chr1	2291457	2294588	AT1G07480.TAIR10	Chr1	2296023	2299470
AT1G07480.TAIR10	Chr1	2296023	2299470	AT1G07470.TAIR10	Chr1	2291457	2294588
AT1G07600.TAIR10	Chr1	2338904	2339321	AT1G07610.TAIR10	Chr1	2341542	2342123
AT1G07610.TAIR10	Chr1	2341542	2342123	AT1G07600.TAIR10	Chr1	2338904	2339321
AT1G07660.TAIR10	Chr1	2368837	2369734	AT2G28740.TAIR10	Chr2	12329488	12329995
AT1G07660.TAIR10	Chr1	2368837	2369734	AT5G59690.TAIR10	Chr5	24051552	24052143
AT1G07660.TAIR10	Chr1	2368837	2369734	AT5G59970.TAIR10	Chr5	24146175	24146726
AT1G07660.TAIR10	Chr1	2368837	2369734	AT3G53730.TAIR10	Chr3	19912494	19913033
AT1G07660.TAIR10	Chr1	2368837	2369734	AT3G45930.TAIR10	Chr3	16883316	16883876
AT1G07660.TAIR10	Chr1	2368837	2369734	AT1G07820.TAIR10	Chr1	2421216	2421947
AT1G07660.TAIR10	Chr1	2368837	2369734	AT3G46320.TAIR10	Chr3	17019911	17020428
AT1G07670.TAIR10	Chr1	2370052	2374545	AT1G07810.TAIR10	Chr1	2416265	2420757
AT1G07770.TAIR10	Chr1	2408203	2409577	AT3G46040.TAIR10	Chr3	16914539	16915759
AT1G07770.TAIR10	Chr1	2408203	2409577	AT5G59850.TAIR10	Chr5	24112200	24113617
AT1G07780.TAIR10	Chr1	2410056	2412677	AT5G05590.TAIR10	Chr5	1666471	1668352
AT1G07790.TAIR10	Chr1	2412980	2413708	AT5G59910.TAIR10	Chr5	24127128	24127935
AT1G07790.TAIR10	Chr1	2412980	2413708	AT3G46030.TAIR10	Chr3	16913448	16914131
AT1G07790.TAIR10	Chr1	2412980	2413708	AT2G37470.TAIR10	Chr2	15736764	15737368
AT1G07790.TAIR10	Chr1	2412980	2413708	AT3G45980.TAIR10	Chr3	16897287	16898013
AT1G07790.TAIR10	Chr1	2412980	2413708	AT5G22880.TAIR10	Chr5	7651957	7652622
AT1G07790.TAIR10	Chr1	2412980	2413708	AT2G28720.TAIR10	Chr2	12326978	12327678
AT1G07810.TAIR10	Chr1	2416265	2420757	AT1G07670.TAIR10	Chr1	2370052	2374545
AT1G07820.TAIR10	Chr1	2421216	2421947	AT2G28740.TAIR10	Chr2	12329488	12329995
AT1G07820.TAIR10	Chr1	2421216	2421947	AT5G59690.TAIR10	Chr5	24051552	24052143
AT1G07820.TAIR10	Chr1	2421216	2421947	AT5G59970.TAIR10	Chr5	24146175	24146726
AT1G07820.TAIR10	Chr1	2421216	2421947	AT1G07660.TAIR10	Chr1	2368837	2369734
AT1G07820.TAIR10	Chr1	2421216	2421947	AT3G53730.TAIR10	Chr3	19912494	19913033
AT1G07820.TAIR10	Chr1	2421216	2421947	AT3G45930.TAIR10	Chr3	16883316	16883876
AT1G07820.TAIR10	Chr1	2421216	2421947	AT3G46320.TAIR10	Chr3	17019911	17020428
AT1G07860.TAIR10	Chr1	2428911	2429431	AT1G07870.TAIR10	Chr1	2429699	2432034
AT1G07870.TAIR10	Chr1	2429699	2432034	AT1G07860.TAIR10	Chr1	2428911	2429431
AT1G07920.TAIR10	Chr1	2454846	2457321	AT1G07940.TAIR10	Chr1	2462953	2465467
AT1G07920.TAIR10	Chr1	2454846	2457321	AT1G07930.TAIR10	Chr1	2458244	2460790
AT1G07920.TAIR10	Chr1	2454846	2457321	AT5G60390.TAIR10	Chr5	24288658	24291020
AT1G07930.TAIR10	Chr1	2458244	2460790	AT1G07940.TAIR10	Chr1	2462953	2465467
