geneId	chromosome	geneStart	geneEnd	unique	genomeId2	geneIdG2	chromosomeG2	geneStartG2	geneEndG2	type
LOC_Os01g01700.MSUv7.0	Chr1	371831	374470	N	2	AT5G20570.TAIR10	Chr5	6956660	6958311	U
LOC_Os01g01710.MSUv7.0	Chr1	374728	380716	Y	2	AT5G62790.TAIR10	Chr5	25214257	25217421	U
LOC_Os01g05420.MSUv7.0	Chr1	2560858	2565373	Y	2	AT4G36230.TAIR10	Chr4	17145586	17146251	U
LOC_Os01g05970.MSUv7.0	Chr1	2844429	2858134	N	2	AT5G59910.TAIR10	Chr5	24127128	24127935	M
LOC_Os01g05970.MSUv7.0	Chr1	2844429	2858134	N	2	AT3G46030.TAIR10	Chr3	16913448	16914131	M
LOC_Os01g05970.MSUv7.0	Chr1	2844429	2858134	N	2	AT5G02570.TAIR10	Chr5	576742	577140	M
LOC_Os01g07070.MSUv7.0	Chr1	3322774	3327179	N	2	AT1G75550.TAIR10	Chr1	28369437	28369940	M
LOC_Os01g07070.MSUv7.0	Chr1	3322774	3327179	N	2	AT4G36230.TAIR10	Chr4	17145586	17146251	M
LOC_Os01g08280.MSUv7.0	Chr1	4059510	4063190	N	2	AT3G07590.TAIR10	Chr3	2423070	2424594	M
LOC_Os01g08280.MSUv7.0	Chr1	4059510	4063190	N	2	AT1G72080.TAIR10	Chr1	27120264	27122761	M
LOC_Os01g08280.MSUv7.0	Chr1	4059510	4063190	N	2	AT4G02840.TAIR10	Chr4	1264627	1266459	M
LOC_Os01g10820.MSUv7.0	Chr1	5770150	5772034	N	2	AT2G42740.TAIR10	Chr2	17791729	17793082	M
LOC_Os01g10820.MSUv7.0	Chr1	5770150	5772034	N	2	AT5G45775.TAIR10	Chr5	18565062	18566569	M
LOC_Os01g10820.MSUv7.0	Chr1	5770150	5772034	N	2	AT3G58700.TAIR10	Chr3	21711563	21712955	M
LOC_Os01g10820.MSUv7.0	Chr1	5770150	5772034	N	2	AT4G18730.TAIR10	Chr4	10302163	10303382	M
LOC_Os01g11040.MSUv7.0	Chr1	5890605	5898224	N	2	AT1G75550.TAIR10	Chr1	28369437	28369940	M
LOC_Os01g11040.MSUv7.0	Chr1	5890605	5898224	N	2	AT4G36230.TAIR10	Chr4	17145586	17146251	M
LOC_Os01g12640.MSUv7.0	Chr1	6957033	6958745	Y	2	AT4G36230.TAIR10	Chr4	17145586	17146251	U
