C1_00010W_A	C1_00010W_B
C1_00020C_A	C1_00020C_B
C1_00030C_A	C2_10870W_B	C5_05510C_A	C3_00050C_B	C5_05510C_B	C3_00050C_A	C1_00030C_B	C2_10870W_A	C6_04650W_B	C6_04650W_A
C1_00040W_A	C5_05500C_B	C5_05500C_A	C1_06180W_A	CR_10860C_A	C1_06180W_B	CR_10860C_B	C1_00040W_B	CR_00020W_A	C5_00010W_B	C7_04360C_B	CR_00020W_B	C6_00030W_B	C6_00030W_A	C4_00010W_A	C3_07970C_B	C7_04340C_B	C4_00010W_B	C1_14590C_B	C1_14590C_A	C3_07970C_A	C7_04340C_A	C5_00010W_A	C7_04360C_A	C2_00010W_B	C2_00010W_A
C1_00050C_A	C1_00050C_B
C1_00060W_A	C1_00060W_B	C4_01260W_A	AT3G22930.TAIR10	CR_06910W_B	C3_04860W_B	C3_04860W_A	C3_02510C_B	C3_02510C_A	C4_01260W_B	C1_07680W_B	CR_06910W_A	C1_07680W_A	C6_02840C_A	C2_08600W_B	C2_08730W_B	C1_04520C_A	C2_08600W_A	C2_02100W_B	C1_04520C_B	C2_02100W_A	C1_05430W_B	C1_05430W_A	C2_10280C_B	C5_02480W_A	C6_02840C_B	C2_10280C_A	C5_02480W_B	C6_03650C_A	C6_03650C_B	AT1G43850.TAIR10	AT1G55080.TAIR10	AT5G61270.TAIR10	AT4G17950.TAIR10	AT4G32551.TAIR10	AT1G75340.TAIR10	AT5G49700.TAIR10	C2_08730W_A	CR_04840C_A	CR_04840C_B	C6_02290C_B	C4_01020C_A	C4_01020C_B	C6_04270W_A	C6_04270W_B	C2_03720W_A	C2_03720W_B	AT3G07590.TAIR10	AT1G72080.TAIR10	AT4G02840.TAIR10	AT4G39925.TAIR10	C6_02290C_A	C2_01830W_B	C1_06350W_A	C2_01830W_A	C5_03940C_A	C1_06350W_B	C5_03940C_B	C6_04180W_A	C6_04210C_A	C1_09040C_B	C2_04260W_B	CR_10180W_B	C6_01620W_B	C2_04260W_A	C6_01620W_A	C7_03780C_A	C7_03780C_B	CR_02850C_A	CR_10180W_A	C5_00710W_A	CR_09480W_A	C5_00710W_B	CR_09480W_B	C3_07030C_A	C3_07030C_B	C1_01670C_B	C2_10140W_B	C2_10140W_A	CR_02640W_B	CR_02640W_A	C1_07640C_B	C1_07640C_A	C6_04190C_A	C4_05220C_B	C4_05220C_A	C6_04190C_B	AT2G42200.TAIR10	AT5G49120.TAIR10	AT4G17750.TAIR10	AT2G44340.TAIR10	AT1G76010.TAIR10	C2_09840W_A	C2_09840W_B	C6_04180W_B	C6_04210C_B	CR_02850C_B	AT5G03710.TAIR10	C1_01670C_A	C3_04990W_A	C3_04990W_B	CR_10550W_B	CR_10550W_A	C7_01410C_A	C7_01410C_B	C2_04080W_A	C2_04080W_B	C4_05160C_B	C4_05160C_A	C1_02390W_A	C1_02390W_B	C2_01370C_A	C2_01370C_B	C1_07540C_A	C1_07540C_B	C3_02830W_B	C3_02830W_A	C5_02900W_B	CR_02930W_A	CR_02930W_B	C1_09010W_B	CR_07860C_A	CR_07860C_B	C2_02500W_A	C2_02500W_B	C4_02530W_A	C4_02530W_B	CR_10240W_B	CR_10240W_A	C1_02360C_B	CR_09470W_A	C7_03850W_A	CR_09470W_B	C7_03850W_B	C4_01290W_A	C1_02360C_A	C4_01290W_B	C3_07070C_B	C3_07070C_A	C4_02940W_B	C4_04100C_A	C4_02940W_A	C4_04100C_B	C2_08630C_A	C2_08630C_B	C2_05090W_B	CR_02680W_A	C4_03440C_A	CR_02680W_B	C4_03440C_B	C2_05090W_A	C1_09050W_A	C2_08010W_B	C1_09050W_B	C2_08010W_A	AT4G02810.TAIR10	AT1G76780.TAIR10	AT3G56570.TAIR10	AT5G12010.TAIR10	AT2G32680.TAIR10	AT5G59000.TAIR10	AT5G66540.TAIR10	AT2G38300.TAIR10	AT5G63650.TAIR10	AT4G21660.TAIR10	AT2G32980.TAIR10	AT1G67840.TAIR10	AT4G26290.TAIR10	AT1G08190.TAIR10	AT4G31110.TAIR10	AT5G25590.TAIR10	AT5G01400.TAIR10	AT5G44280.TAIR10	AT5G54250.TAIR10	AT5G40340.TAIR10	AT1G47300.TAIR10	AT1G18950.TAIR10	AT3G42310.TAIR10	AT4G12740.TAIR10	AT3G46990.TAIR10	AT2G33510.TAIR10	AT5G03670.TAIR10	AT1G77122.TAIR10	AT5G22090.TAIR10	AT5G55430.TAIR10	AT1G68140.TAIR10	AT1G52320.TAIR10	AT5G62500.TAIR10	AT1G24120.TAIR10	AT4G16630.TAIR10	AT5G46030.TAIR10	AT1G55530.TAIR10	AT3G24900.TAIR10	AT5G61380.TAIR10	C5_02900W_A	C1_09010W_A	AT5G08590.TAIR10
C1_00070W_A	C1_00070W_B
C1_00080C_A	C1_00080C_B
C1_00090W_A	C1_00090W_B
C1_00100C_A	C1_00100C_B
C1_00110W_A	C1_00110W_B
C1_00120C_A	C1_00120C_B
C1_00130C_A	C1_00130C_B
C1_00140W_A	C1_00140W_B
C1_00150C_A	C1_00150C_B
C1_00160C_A	C1_00160C_B
C1_00170W_A	C1_00170W_B
C1_00180W_A	C1_00180W_B
C1_00190C_A	C1_00190C_B
C1_00200C_A	C1_00200C_B
C1_00210C_A	C1_00210C_B
C1_00220W_A	C1_00220W_B	AT5G26673.TAIR10	AT4G30450.TAIR10	C1_04120C_B	C1_04120C_A	C4_02900C_A	C4_02900C_B	C1_07580C_A	C1_07580C_B	AT1G05490.TAIR10	AT1G64080.TAIR10	AT1G68330.TAIR10	AT3G28830.TAIR10	AT2G42710.TAIR10	AT4G30460.TAIR10	AT1G21910.TAIR10	AT3G28790.TAIR10	AT3G54920.TAIR10	AT4G17620.TAIR10	AT4G18070.TAIR10	AT2G29125.TAIR10	AT1G06230.TAIR10
C1_00230C_A	C1_00230C_B
C1_00270W_A	C1_00270W_B
C1_00280C_A	C2_00950C_A	C2_00950C_B	C1_00280C_B
C1_00290W_A	C1_00290W_B
C1_00310W_A	C1_00310W_B
C1_00320W_A	C1_00320W_B
C1_00330C_A	C1_00330C_B
C1_00340W_A	C1_00340W_B
C1_00350C_A	C1_00350C_B
C1_00360W_A	C1_00360W_B
C1_00370W_A	C1_00370W_B
C1_00380C_A	C1_00380C_B
C1_00390W_A	C1_00390W_B
C1_00400W_A	C1_00400W_B
C1_00410C_A	C1_00410C_B
C1_00420W_A	C1_00420W_B
C1_00430W_A	C1_00430W_B
C1_00440W_A	C1_00440W_B
C1_00450C_A	C1_00450C_B
C1_00460W_A	C1_00460W_B
C1_00470C_A	C1_00470C_B
C1_00480C_A	C1_00480C_B
C1_00490C_A	C1_00490C_B
C1_00500C_A	C1_00500C_B
C1_00510W_A	C1_00510W_B
C1_00520W_A	C1_00520W_B
C1_00530C_A	C1_00530C_B
C1_00540C_A	C1_00540C_B
C1_00550W_A	C1_00550W_B
C1_00560W_A	C1_00560W_B
C1_00570C_A	C1_00570C_B
C1_00580W_A	C1_00580W_B
C1_00590W_A	C1_00590W_B
C1_00600W_A	C1_00600W_B
C1_00610W_A	C1_00610W_B
C1_00620W_A	C1_00620W_B
C1_00630W_A	C1_00630W_B
C1_00640C_A	C1_00640C_B
C1_00650C_A	C1_00650C_B
C1_00660C_A	C1_00660C_B
C1_00670C_A	C1_00670C_B
C1_00680W_A	C1_00680W_B
C1_00690W_A	C1_00690W_B
C1_00700W_A	C1_00700W_B
C1_00710C_A	C1_00710C_B
C1_00730C_A	C1_00730C_B
C1_00740C_A	C1_00740C_B
C1_00750C_A	C1_00750C_B
C1_00760W_A	C1_00760W_B
C1_00770C_A	C1_00770C_B
C1_00780C_A	C1_00780C_B
C1_00790W_A	C1_00790W_B
C1_00800C_A	C1_00800C_B
C1_00810W_A	C1_00810W_B
C1_00820W_A	C1_00820W_B
C1_00830W_A	C1_00830W_B
C1_00840C_A	C1_00840C_B
C1_00850W_A	C1_00850W_B
C1_00860W_A	C1_00860W_B
C1_00870W_A	C1_00870W_B
C1_00880W_A	C1_00880W_B
C1_00890W_A	C1_00890W_B
C1_00900W_A	C1_00900W_B
C1_00910W_A	C1_00910W_B
C1_00920W_A	C1_00920W_B
C1_00930C_A	C1_00930C_B
C1_00940W_A	C1_00940W_B
C1_00950C_A	C1_00950C_B
C1_00960C_A	C1_00960C_B
C1_00970W_A	C1_00970W_B
C1_00980W_A	C1_00980W_B
C1_00990C_A	C1_00990C_B
C1_01000C_A	C1_01000C_B
C1_01010W_A	C1_01010W_B
C1_01030W_A	C1_01030W_B
C1_01040W_A	C1_01040W_B
C1_01050C_A	C1_01050C_B
C1_01060W_A	C1_01060W_B
C1_01070C_A	C1_01070C_B
C1_01080W_A	C1_01080W_B
C1_01090C_A	C1_01090C_B
C1_01100W_A	C1_01100W_B
C1_01110C_A	C1_01110C_B
C1_01130W_A	C1_01130W_B
C1_01140C_A	C1_01140C_B
C1_01150C_A	C1_01150C_B
C1_01160C_A	C1_01160C_B
C1_01170C_A	C1_01170C_B
C1_01180C_A	C1_01180C_B
C1_01190C_A	C1_01190C_B
C1_01200W_A	C1_01200W_B
C1_01210W_A	C1_01210W_B
C1_01220C_A	C1_01220C_B
C1_01240W_A	C1_01240W_B
C1_01250W_A	C1_01250W_B
