geneId	chromosome	geneStart	geneEnd	unique	genomeId2	geneIdG2	chromosomeG2	geneStartG2	geneEndG2	type
C1_00060W_A	Ca22chr1A_C_albicans_SC5314	12163	13701	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	U
C1_00220W_A	Ca22chr1A_C_albicans_SC5314	37851	39485	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_00220W_A	Ca22chr1A_C_albicans_SC5314	37851	39485	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_02360C_A	Ca22chr1A_C_albicans_SC5314	490252	492177	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_02390W_A	Ca22chr1A_C_albicans_SC5314	499217	501709	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_04120C_A	Ca22chr1A_C_albicans_SC5314	863013	864074	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_04120C_A	Ca22chr1A_C_albicans_SC5314	863013	864074	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_05430W_A	Ca22chr1A_C_albicans_SC5314	1138277	1140532	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C1_05430W_A	Ca22chr1A_C_albicans_SC5314	1138277	1140532	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
C1_05430W_A	Ca22chr1A_C_albicans_SC5314	1138277	1140532	N	2	AT5G49700.TAIR10	Chr5	20192599	20193429	M
C1_07540C_A	Ca22chr1A_C_albicans_SC5314	1631817	1634681	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_07580C_A	Ca22chr1A_C_albicans_SC5314	1639501	1640733	N	2	AT4G30460.TAIR10	Chr4	14888980	14889802	M
C1_07580C_A	Ca22chr1A_C_albicans_SC5314	1639501	1640733	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_07580C_A	Ca22chr1A_C_albicans_SC5314	1639501	1640733	N	2	AT2G29125.TAIR10	Chr2	12523342	12524109	M
C1_07580C_A	Ca22chr1A_C_albicans_SC5314	1639501	1640733	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_08380W_A	Ca22chr1A_C_albicans_SC5314	1842502	1843878	N	2	AT1G07940.TAIR10	Chr1	2462953	2465467	M
C1_08380W_A	Ca22chr1A_C_albicans_SC5314	1842502	1843878	N	2	AT1G07930.TAIR10	Chr1	2458244	2460790	M
C1_08380W_A	Ca22chr1A_C_albicans_SC5314	1842502	1843878	N	2	AT1G07920.TAIR10	Chr1	2454846	2457321	M
C1_08380W_A	Ca22chr1A_C_albicans_SC5314	1842502	1843878	N	2	AT5G60390.TAIR10	Chr5	24288658	24291020	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT4G02810.TAIR10	Chr4	1256162	1257212	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT2G33510.TAIR10	Chr2	14194150	14195647	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT5G03710.TAIR10	Chr5	971107	971627	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT5G40340.TAIR10	Chr5	16131654	16134916	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT1G47300.TAIR10	Chr1	17339561	17340972	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT5G63650.TAIR10	Chr5	25481517	25483719	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT5G22090.TAIR10	Chr5	7314583	7316651	M
C1_09050W_A	Ca22chr1A_C_albicans_SC5314	1969726	1971693	N	2	AT5G55430.TAIR10	Chr5	22464589	22465218	M
C1_12960C_A	Ca22chr1A_C_albicans_SC5314	2819824	2825022	N	2	AT4G11430.TAIR10	Chr4	6952799	6954242	U
C1_13360C_A	Ca22chr1A_C_albicans_SC5314	2913583	2914710	N	2	AT1G29460.TAIR10	Chr1	10307507	10308143	U
C1_00060W_B	Ca22chr1B_C_albicans_SC5314	12163	13701	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	U
C1_00220W_B	Ca22chr1B_C_albicans_SC5314	37852	39486	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_00220W_B	Ca22chr1B_C_albicans_SC5314	37852	39486	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_01670C_B	Ca22chr1B_C_albicans_SC5314	336721	341517	N	2	AT2G44340.TAIR10	Chr2	18314279	18314845	U
C1_02360C_B	Ca22chr1B_C_albicans_SC5314	490272	492197	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_02390W_B	Ca22chr1B_C_albicans_SC5314	499242	501734	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_04120C_B	Ca22chr1B_C_albicans_SC5314	863064	864125	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_04120C_B	Ca22chr1B_C_albicans_SC5314	863064	864125	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_05430W_B	Ca22chr1B_C_albicans_SC5314	1138282	1140537	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C1_05430W_B	Ca22chr1B_C_albicans_SC5314	1138282	1140537	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
C1_05430W_B	Ca22chr1B_C_albicans_SC5314	1138282	1140537	N	2	AT5G49700.TAIR10	Chr5	20192599	20193429	M
C1_07540C_B	Ca22chr1B_C_albicans_SC5314	1631846	1634713	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_07580C_B	Ca22chr1B_C_albicans_SC5314	1639534	1640766	N	2	AT4G30460.TAIR10	Chr4	14888980	14889802	M
C1_07580C_B	Ca22chr1B_C_albicans_SC5314	1639534	1640766	N	2	AT5G26673.TAIR10	Chr5	9279309	9279611	M
C1_07580C_B	Ca22chr1B_C_albicans_SC5314	1639534	1640766	N	2	AT2G29125.TAIR10	Chr2	12523342	12524109	M
C1_07580C_B	Ca22chr1B_C_albicans_SC5314	1639534	1640766	N	2	AT4G30450.TAIR10	Chr4	14886027	14886675	M
C1_08380W_B	Ca22chr1B_C_albicans_SC5314	1842523	1843899	N	2	AT1G07940.TAIR10	Chr1	2462953	2465467	M
C1_08380W_B	Ca22chr1B_C_albicans_SC5314	1842523	1843899	N	2	AT1G07930.TAIR10	Chr1	2458244	2460790	M
C1_08380W_B	Ca22chr1B_C_albicans_SC5314	1842523	1843899	N	2	AT1G07920.TAIR10	Chr1	2454846	2457321	M
C1_08380W_B	Ca22chr1B_C_albicans_SC5314	1842523	1843899	N	2	AT5G60390.TAIR10	Chr5	24288658	24291020	M
C1_09010W_B	Ca22chr1B_C_albicans_SC5314	1962485	1964314	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT4G02810.TAIR10	Chr4	1256162	1257212	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT2G33510.TAIR10	Chr2	14194150	14195647	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G44280.TAIR10	Chr5	17835849	17839254	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G03710.TAIR10	Chr5	971107	971627	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G40340.TAIR10	Chr5	16131654	16134916	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G66540.TAIR10	Chr5	26556333	26559427	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT1G47300.TAIR10	Chr1	17339561	17340972	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G63650.TAIR10	Chr5	25481517	25483719	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G22090.TAIR10	Chr5	7314583	7316651	M
C1_09050W_B	Ca22chr1B_C_albicans_SC5314	1969745	1971718	N	2	AT5G55430.TAIR10	Chr5	22464589	22465218	M
C1_12960C_B	Ca22chr1B_C_albicans_SC5314	2819892	2825090	N	2	AT4G11430.TAIR10	Chr4	6952799	6954242	U
C1_13360C_B	Ca22chr1B_C_albicans_SC5314	2913651	2914778	N	2	AT1G29460.TAIR10	Chr1	10307507	10308143	U
C2_01370C_A	Ca22chr2A_C_albicans_SC5314	237215	239071	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_01830W_A	Ca22chr2A_C_albicans_SC5314	336552	338495	N	2	AT2G44340.TAIR10	Chr2	18314279	18314845	U
C2_01900C_A	Ca22chr2A_C_albicans_SC5314	354235	355758	N	2	AT1G48400.TAIR10	Chr1	17882136	17883855	U
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT3G07590.TAIR10	Chr3	2423070	2424594	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT5G61270.TAIR10	Chr5	24638775	24640600	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT1G72080.TAIR10	Chr1	27120264	27122761	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT4G02840.TAIR10	Chr4	1264627	1266459	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
C2_02100W_A	Ca22chr2A_C_albicans_SC5314	410199	415271	N	2	AT5G49700.TAIR10	Chr5	20192599	20193429	M
C2_02500W_A	Ca22chr2A_C_albicans_SC5314	501159	502925	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_03720W_A	Ca22chr2A_C_albicans_SC5314	789500	789823	N	2	AT2G42200.TAIR10	Chr2	17587407	17589630	M
C2_03720W_A	Ca22chr2A_C_albicans_SC5314	789500	789823	N	2	AT5G49120.TAIR10	Chr5	19908626	19909399	M
C2_03720W_A	Ca22chr2A_C_albicans_SC5314	789500	789823	N	2	AT4G17750.TAIR10	Chr4	9869818	9871603	M
C2_03720W_A	Ca22chr2A_C_albicans_SC5314	789500	789823	N	2	AT2G44340.TAIR10	Chr2	18314279	18314845	M
C2_04080W_A	Ca22chr2A_C_albicans_SC5314	858566	860644	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_04260W_A	Ca22chr2A_C_albicans_SC5314	893030	894856	N	2	AT2G44340.TAIR10	Chr2	18314279	18314845	U
C2_05090W_A	Ca22chr2A_C_albicans_SC5314	1052876	1055224	N	2	AT4G02810.TAIR10	Chr4	1256162	1257212	M
C2_05090W_A	Ca22chr2A_C_albicans_SC5314	1052876	1055224	N	2	AT2G33510.TAIR10	Chr2	14194150	14195647	M
C2_05090W_A	Ca22chr2A_C_albicans_SC5314	1052876	1055224	N	2	AT5G03710.TAIR10	Chr5	971107	971627	M
C2_05090W_A	Ca22chr2A_C_albicans_SC5314	1052876	1055224	N	2	AT1G47300.TAIR10	Chr1	17339561	17340972	M
C2_05090W_A	Ca22chr2A_C_albicans_SC5314	1052876	1055224	N	2	AT5G55430.TAIR10	Chr5	22464589	22465218	M
C2_05910W_A	Ca22chr2A_C_albicans_SC5314	1208390	1210834	N	2	AT4G11430.TAIR10	Chr4	6952799	6954242	U
C2_08010W_A	Ca22chr2A_C_albicans_SC5314	1624653	1631255	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_08600W_A	Ca22chr2A_C_albicans_SC5314	1749986	1751044	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C2_08600W_A	Ca22chr2A_C_albicans_SC5314	1749986	1751044	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
C2_08600W_A	Ca22chr2A_C_albicans_SC5314	1749986	1751044	N	2	AT5G49700.TAIR10	Chr5	20192599	20193429	M
C2_08630C_A	Ca22chr2A_C_albicans_SC5314	1755545	1756948	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_08730W_A	Ca22chr2A_C_albicans_SC5314	1774396	1776672	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	U
C2_10280C_A	Ca22chr2A_C_albicans_SC5314	2116936	2119164	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C2_10280C_A	Ca22chr2A_C_albicans_SC5314	2116936	2119164	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
C2_01370C_B	Ca22chr2B_C_albicans_SC5314	237207	239063	N	2	AT5G03710.TAIR10	Chr5	971107	971627	U
C2_01830W_B	Ca22chr2B_C_albicans_SC5314	336519	338468	N	2	AT2G44340.TAIR10	Chr2	18314279	18314845	U
C2_01900C_B	Ca22chr2B_C_albicans_SC5314	354213	355736	N	2	AT1G48400.TAIR10	Chr1	17882136	17883855	U
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT1G55080.TAIR10	Chr1	20553011	20554254	M
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT3G07590.TAIR10	Chr3	2423070	2424594	M
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT5G61270.TAIR10	Chr5	24638775	24640600	M
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT1G72080.TAIR10	Chr1	27120264	27122761	M
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT4G02840.TAIR10	Chr4	1264627	1266459	M
C2_02100W_B	Ca22chr2B_C_albicans_SC5314	410201	415273	N	2	AT3G22930.TAIR10	Chr3	8124083	8125931	M
