geneId	chromosome	geneStart	geneEnd	paralogId	paralogChr	paralogStart	paralogEnd
Bradi1g00200.v3.1	Bd1	10581	11638	Bradi3g61100.v3.1	Bd3	59581220	59582357
Bradi1g00210.v3.1	Bd1	18453	21742	Bradi5g20082.v3.1	Bd5	23132078	23134654
Bradi1g00215.v3.1	Bd1	47522	49251	Bradi3g42150.v3.1	Bd3	43624016	43628993
Bradi1g00222.v3.1	Bd1	56819	57537	Bradi4g09240.v3.1	Bd4	8571093	8574269
Bradi1g00247.v3.1	Bd1	104368	106734	Bradi4g09504.v3.1	Bd4	8779012	8779758
Bradi1g00266.v3.1	Bd1	123718	125069	Bradi4g09457.v3.1	Bd4	8718449	8728449
Bradi1g00370.v3.1	Bd1	305885	309062	Bradi5g27695.v3.1	Bd5	28557026	28560966
Bradi1g00381.v3.1	Bd1	309496	311896	Bradi5g27691.v3.1	Bd5	28552982	28555618
Bradi1g00417.v3.1	Bd1	371191	374596	Bradi1g05217.v3.1	Bd1	3518991	3521045
Bradi1g00427.v3.1	Bd1	373903	379261	Bradi2g36360.v3.1	Bd2	36465096	36471113
Bradi1g00427.v3.1	Bd1	373903	379261	Bradi1g78740.v3.1	Bd1	74870863	74877009
Bradi1g01140.v3.1	Bd1	760615	764210	Bradi1g01200.v3.1	Bd1	801781	804949
Bradi1g01200.v3.1	Bd1	801781	804949	Bradi1g01140.v3.1	Bd1	760615	764210
Bradi1g01560.v3.1	Bd1	1019698	1024225	Bradi1g17990.v3.1	Bd1	14536153	14540911
Bradi1g01683.v3.1	Bd1	1107065	1108147	Bradi1g01807.v3.1	Bd1	1214858	1215925
Bradi1g01683.v3.1	Bd1	1107065	1108147	Bradi1g01695.v3.1	Bd1	1128254	1129080
Bradi1g01692.v3.1	Bd1	1116544	1116756	Bradi1g05741.v3.1	Bd1	3899762	3901288
Bradi1g01692.v3.1	Bd1	1116544	1116756	Bradi1g05740.v3.1	Bd1	35950256	35953188
Bradi1g01692.v3.1	Bd1	1116544	1116756	Bradi3g27286.v3.1	Bd3	28005363	28006199
Bradi1g01692.v3.1	Bd1	1116544	1116756	Bradi5g23854.v3.1	Bd5	25813994	25815001
Bradi1g01695.v3.1	Bd1	1128254	1129080	Bradi1g01807.v3.1	Bd1	1214858	1215925
Bradi1g01695.v3.1	Bd1	1128254	1129080	Bradi1g01683.v3.1	Bd1	1107065	1108147
Bradi1g01700.v3.1	Bd1	1129896	1132998	Bradi1g01805.v3.1	Bd1	1212476	1212973
Bradi1g01770.v3.1	Bd1	1165634	1170098	Bradi1g71410.v3.1	Bd1	69626967	69636741
Bradi1g01805.v3.1	Bd1	1212476	1212973	Bradi1g01700.v3.1	Bd1	1129896	1132998
Bradi1g01807.v3.1	Bd1	1214858	1215925	Bradi1g01695.v3.1	Bd1	1128254	1129080
Bradi1g01807.v3.1	Bd1	1214858	1215925	Bradi1g01683.v3.1	Bd1	1107065	1108147
Bradi1g01948.v3.1	Bd1	1316522	1318706	Bradi1g01980.v3.1	Bd1	1332312	1336813
Bradi1g01965.v3.1	Bd1	1325410	1328981	Bradi5g26391.v3.1	Bd5	27602375	27603098
Bradi1g01970.v3.1	Bd1	1330004	1332143	Bradi1g12697.v3.1	Bd1	9576360	9578788
Bradi1g01980.v3.1	Bd1	1332312	1336813	Bradi1g01948.v3.1	Bd1	1316522	1318706
Bradi1g02310.v3.1	Bd1	1574316	1577869	Bradi4g45300.v3.1	Bd4	48369534	48372744
Bradi1g02327.v3.1	Bd1	1577870	1580443	Bradi4g45290.v3.1	Bd4	48366685	48369563
Bradi1g02350.v3.1	Bd1	1587339	1591956	Bradi4g45270.v3.1	Bd4	48354166	48356715
Bradi1g02350.v3.1	Bd1	1587339	1591956	Bradi1g47700.v3.1	Bd1	46568081	46570364
Bradi1g02510.v3.1	Bd1	1698765	1705230	Bradi1g29056.v3.1	Bd1	24582474	24583575
Bradi1g02510.v3.1	Bd1	1698765	1705230	Bradi1g29060.v3.1	Bd1	24582164	24588328
Bradi1g02580.v3.1	Bd1	1734971	1738522	Bradi2g56000.v3.1	Bd2	54242470	54245337
