geneId	chromosome	geneStart	geneEnd	unique	genomeId2	geneIdG2	chromosomeG2	geneStartG2	geneEndG2	type
Bradi1g00200.v3.1	Bd1	10581	11638	N	1	Bradi1g00200.v3.1	Bd1	10581	11638	M
Bradi1g00200.v3.1	Bd1	10581	11638	N	1	Bradi3g61100.v3.1	Bd3	59581220	59582357	M
Bradi1g00210.v3.1	Bd1	18453	21742	N	1	Bradi5g20082.v3.1	Bd5	23132078	23134654	M
Bradi1g00210.v3.1	Bd1	18453	21742	N	1	Bradi1g00210.v3.1	Bd1	18453	21742	M
Bradi1g00213.v3.1	Bd1	28710	31462	Y	1	Bradi1g00213.v3.1	Bd1	28710	31462	L
Bradi1g00215.v3.1	Bd1	47522	49251	N	1	Bradi3g42150.v3.1	Bd3	43624016	43628993	M
Bradi1g00215.v3.1	Bd1	47522	49251	N	1	Bradi1g00215.v3.1	Bd1	47522	49251	L
Bradi1g00217.v3.1	Bd1	52489	52869	Y	1	Bradi1g00217.v3.1	Bd1	52489	52869	L
Bradi1g00219.v3.1	Bd1	54094	56379	Y	1	Bradi1g00219.v3.1	Bd1	54094	56379	L
Bradi1g00222.v3.1	Bd1	56819	57537	N	1	Bradi4g09240.v3.1	Bd4	8571093	8574269	M
Bradi1g00222.v3.1	Bd1	56819	57537	N	1	Bradi1g00222.v3.1	Bd1	56819	57537	L
Bradi1g00234.v3.1	Bd1	59795	70558	Y	1	Bradi1g00234.v3.1	Bd1	59795	70558	L
Bradi1g00247.v3.1	Bd1	104368	106734	N	1	Bradi4g09504.v3.1	Bd4	8779012	8779758	M
Bradi1g00247.v3.1	Bd1	104368	106734	N	1	Bradi1g00247.v3.1	Bd1	104368	106734	L
Bradi1g00253.v3.1	Bd1	108527	109357	Y	1	Bradi1g00253.v3.1	Bd1	108527	109357	L
Bradi1g00260.v3.1	Bd1	112000	121797	Y	1	Bradi1g00260.v3.1	Bd1	112000	121797	L
Bradi1g00266.v3.1	Bd1	123718	125069	N	1	Bradi4g09457.v3.1	Bd4	8718449	8728449	M
Bradi1g00266.v3.1	Bd1	123718	125069	N	1	Bradi1g00266.v3.1	Bd1	123718	125069	L
Bradi1g00272.v3.1	Bd1	132040	134298	Y	1	Bradi1g00272.v3.1	Bd1	132040	134298	L
Bradi1g00278.v3.1	Bd1	152445	156122	Y	1	Bradi1g00278.v3.1	Bd1	152445	156122	L
Bradi1g00284.v3.1	Bd1	161296	164115	Y	1	Bradi1g00284.v3.1	Bd1	161296	164115	L
Bradi1g00287.v3.1	Bd1	165644	166477	Y	1	Bradi1g00287.v3.1	Bd1	165644	166477	L
Bradi1g00291.v3.1	Bd1	167458	168254	Y	1	Bradi1g00291.v3.1	Bd1	167458	168254	L
Bradi1g00300.v3.1	Bd1	173260	174592	Y	1	Bradi1g00300.v3.1	Bd1	173260	174592	L
Bradi1g00322.v3.1	Bd1	222955	224382	Y	1	Bradi1g00322.v3.1	Bd1	222955	224382	L
Bradi1g00330.v3.1	Bd1	228507	230876	Y	1	Bradi1g00330.v3.1	Bd1	228507	230876	L
Bradi1g00332.v3.1	Bd1	240663	245012	Y	1	Bradi1g00332.v3.1	Bd1	240663	245012	L
Bradi1g00335.v3.1	Bd1	244375	247100	Y	1	Bradi1g00335.v3.1	Bd1	244375	247100	L
Bradi1g00341.v3.1	Bd1	259989	262279	Y	1	Bradi1g00341.v3.1	Bd1	259989	262279	L
Bradi1g00345.v3.1	Bd1	277221	285371	Y	1	Bradi1g00345.v3.1	Bd1	277221	285371	L
Bradi1g00350.v3.1	Bd1	282714	283568	Y	1	Bradi1g00350.v3.1	Bd1	282714	283568	L
Bradi1g00360.v3.1	Bd1	284034	284551	Y	1	Bradi1g00360.v3.1	Bd1	284034	284551	L
Bradi1g00361.v3.1	Bd1	291990	292400	Y	1	Bradi1g00361.v3.1	Bd1	291990	292400	L
Bradi1g00362.v3.1	Bd1	292817	293562	Y	1	Bradi1g00362.v3.1	Bd1	292817	293562	L
Bradi1g00364.v3.1	Bd1	295386	297917	Y	1	Bradi1g00364.v3.1	Bd1	295386	297917	L
Bradi1g00365.v3.1	Bd1	298098	299231	Y	1	Bradi1g00365.v3.1	Bd1	298098	299231	L
Bradi1g00366.v3.1	Bd1	300218	301985	Y	1	Bradi1g00366.v3.1	Bd1	300218	301985	L
Bradi1g00368.v3.1	Bd1	303635	304668	Y	1	Bradi1g00368.v3.1	Bd1	303635	304668	L
